subId,trial,block,randomized,bird_position,bag_position,bucket_position,completed,stayed,time_elapsed
sample_subId,1,1,3,60.0,48.147,52,1,0,223456
sample_subId,2,1,3,55.457,50.992,50,1,0,228296
sample_subId,3,1,3,63.725,63.497,50,1,0,233825
sample_subId,4,1,3,58.416,46.606,60,1,0,238434
sample_subId,5,1,3,50.649,52.72,42,1,0,243119
sample_subId,6,1,3,44.73,28.58,48,1,0,247879
sample_subId,7,1,3,40.721,42.319,52,1,0,253462
sample_subId,8,1,3,36.81,40.217,48,1,0,258231
sample_subId,9,1,3,38.059,27.899,44,1,0,263029
sample_subId,10,1,3,36.681,32.799,38,1,0,267678
sample_subId,11,1,3,40.786,45.541,36,1,0,272613
sample_subId,12,1,3,34.823,32.611,54,1,0,277314
sample_subId,13,1,3,40.425,25.564,52,1,0,283145
sample_subId,14,1,3,29.859,30.185,24,1,0,287989
sample_subId,15,1,3,35.99,38.254,32,1,0,292742
sample_subId,16,1,3,34.291,34.799,40,1,0,297562
sample_subId,17,1,3,35.459,38.926,38,1,0,302245
sample_subId,18,1,3,21.701,25.083,38,1,1,306266
sample_subId,19,1,3,12.81,23.206,32,1,0,310914
sample_subId,20,1,3,21.036,12.638,28,1,0,315514
sample_subId,21,1,3,35.24,20.949,24,1,0,320301
sample_subId,22,1,3,33.314,39.843,24,1,1,324318
sample_subId,23,1,3,37.54,34.914,38,1,0,328974
sample_subId,24,1,3,50.009,40.292,36,1,0,333953
sample_subId,25,1,3,62.424,71.319,40,1,0,338719
sample_subId,26,1,3,49.368,45.308,74,1,0,343574
sample_subId,27,1,3,42.011,49.201,44,1,0,348148
sample_subId,28,1,3,39.089,42.107,48,1,0,353079
sample_subId,29,1,3,48.904,60.523,42,1,0,357861
sample_subId,30,1,3,39.33,42.905,62,1,0,362724
sample_subId,31,1,3,37.282,42.449,50,1,0,367340
sample_subId,32,1,3,46.178,41.189,46,1,0,372200
sample_subId,33,1,3,46.64,41.878,42,1,0,377324
sample_subId,34,1,3,49.799,62.69,42,1,1,381341
sample_subId,35,1,3,47.544,44.752,62,1,0,385894
sample_subId,36,1,3,53.063,54.376,56,1,0,390516
sample_subId,37,1,3,59.564,46.471,52,1,0,395937
sample_subId,38,1,3,56.128,60.779,48,1,0,400910
sample_subId,39,1,3,68.709,67.677,60,1,0,405477
sample_subId,40,1,3,72.844,76.306,64,1,0,410366
sample_subId,41,1,3,68.393,66.432,70,1,0,415042
sample_subId,42,1,3,72.616,63.933,64,1,0,419933
sample_subId,43,1,3,68.87,82.316,56,1,0,425085
sample_subId,44,1,3,67.784,69.195,62,1,0,429802
sample_subId,45,1,3,72.069,55.497,68,1,0,434405
sample_subId,46,1,3,64.759,66.447,60,1,0,439089
sample_subId,47,1,3,62.339,57.676,66,1,0,443775
sample_subId,48,1,3,54.139,54.285,58,1,0,448482
sample_subId,49,1,3,49.34,61.298,54,1,0,453111
sample_subId,50,1,3,55.824,52.425,56,1,0,457898
sample_subId,1,2,0,60.0,54.073,50,1,1,465222
sample_subId,2,2,0,58.702,56.47,54,1,0,469952
sample_subId,3,2,0,61.064,60.95,56,1,0,474781
sample_subId,4,2,0,59.547,53.642,62,1,0,479458
sample_subId,5,2,0,57.328,58.364,58,1,0,484114
sample_subId,6,2,0,55.637,47.562,58,1,1,488132
sample_subId,7,2,0,54.492,55.291,54,1,0,492738
sample_subId,8,2,0,53.374,55.078,56,1,0,497566
sample_subId,9,2,0,53.731,48.651,56,1,1,501584
sample_subId,10,2,0,53.337,51.397,52,1,0,506277
sample_subId,11,2,0,54.51,56.888,52,1,1,510300
sample_subId,12,2,0,52.807,51.701,50,1,0,515217
sample_subId,13,2,0,54.407,46.977,48,1,0,520642
sample_subId,14,2,0,51.388,51.551,46,1,0,525496
sample_subId,15,2,0,53.14,54.272,54,1,0,530070
sample_subId,16,2,0,52.655,52.909,56,1,0,535019
sample_subId,17,2,0,52.988,54.722,54,1,0,540539
sample_subId,18,2,0,49.057,50.749,56,1,0,545384
sample_subId,19,2,0,46.517,51.715,50,1,0,550145
sample_subId,20,2,0,48.868,44.668,52,1,0,555157
sample_subId,21,2,0,52.926,45.78,48,1,0,561137
sample_subId,22,2,0,52.376,55.64,50,1,0,566066
sample_subId,23,2,0,53.583,52.27,54,1,0,570831
sample_subId,24,2,0,57.145,52.287,56,1,0,575780
sample_subId,25,2,0,60.693,65.14,54,1,0,580401
sample_subId,26,2,0,56.962,54.932,62,1,0,585048
sample_subId,27,2,0,54.86,58.455,58,1,0,589756
sample_subId,28,2,0,54.025,55.534,56,1,0,595503
sample_subId,29,2,0,56.83,62.639,54,1,0,600428
